"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"1",10,"F",7,"Black","High",3,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"2",9,"M",7,"Black","High",1,1,1,0,0,0,0,0,0,0,4,1,TRUE,0
"3",10,"M",7,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"4",10,"M",7,"White","High",3,0,0,0,0,0,0,0,0,1,1,1,TRUE,1
"5",10,"F",7,"White","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"6",10,"F",7,"White","High",4,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"7",10,"M",7,"White","High",3,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"8",10,"F",7,"White","High",4,0,0,0,0,0,0,0,0,0,1,1,FALSE,1
"9",10,"M",7,"Black","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"10",10,"F",7,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"11",10,"F",7,"Black","High",4,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"12",10,"F",7,"White","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"13",10,"M",7,"Black","High",3,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"14",10,"F",7,"Black","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"15",10,"F",7,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"16",10,"M",7,"White","High",3,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"17",9,"F",7,"Black","High",4,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"18",10,"F",7,"White","High",4,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"19",7,"F",5,"Black","High",4,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"20",7,"F",5,"Black","High",4,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"21",9,"F",5,"White","High",4,1,1,0,0,0,0,0,0,0,4,1,TRUE,0
"22",7,"M",5,"Black","High",4,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"23",9,"F",5,"Black","High",3,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"24",9,"M",5,NA,"High",2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"25",8,"F",5,"Black","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"26",7,"M",5,"Black","High",4,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"27",7,"F",5,"AI/AN","High",1,0,1,0,0,0,0,0,0,1,2,NA,TRUE,1
"28",8,"F",5,"Hispanic","High",2,0,0,0,0,0,0,0,0,1,1,NA,TRUE,1
"29",8,"F",5,"White","High",3,1,0,0,0,0,0,0,0,0,1,NA,TRUE,1
"30",8,"F",6,"Black","High",1,1,1,0,NA,NA,NA,NA,NA,0,3,NA,TRUE,0
"31",8,"F",5,"White","High",1,1,1,0,0,0,1,0,0,1,1,NA,TRUE,1
"32",8,"F",6,"Black","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"33",9,"M",6,"Black","High",3,1,1,0,0,0,0,0,0,0,1,1,TRUE,1
"34",9,"M",6,"Black","High",4,0,0,0,0,0,0,0,0,1,3,NA,TRUE,0
"35",10,"F",7,"Black","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"36",9,"M",7,"White","High",4,0,0,1,0,0,0,1,0,0,3,NA,TRUE,0
"37",9,"M",7,"White","High",3,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"38",9,"F",6,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"39",9,"F",6,"White","High",2,1,NA,0,0,0,0,0,0,1,1,1,TRUE,1
"40",9,"F",6,"White","High",2,1,NA,0,0,0,0,0,0,0,1,NA,TRUE,1
"41",8,"M",6,"Black","High",4,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"42",10,"M",6,"Black","High",3,1,1,NA,0,0,1,0,0,1,2,1,TRUE,1
"43",8,"F",6,"Black","High",1,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"44",8,"F",6,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"45",9,"F",6,"Asian","High",1,0,NA,0,0,0,0,0,0,0,4,1,NA,0
"46",9,"F",6,"Black","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"47",9,"F",6,"Black","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"48",9,"F",6,"Black","High",4,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"49",8,"F",6,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"50",8,"F",6,NA,"High",1,0,1,0,0,0,0,0,0,0,4,NA,TRUE,0
"51",9,"M",6,"Black","High",4,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"52",9,"F",6,"Black","High",2,0,NA,0,0,0,0,0,0,0,2,1,NA,1
"53",9,"M",6,"Black","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"54",8,"M",6,"Black","High",4,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"55",9,"F",6,"Black","High",3,0,1,0,0,0,0,0,0,0,3,1,TRUE,0
"56",9,"F",6,"Black","High",1,0,1,0,0,0,0,0,0,0,1,1,TRUE,1
