"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"1",5,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"2",4,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"3",4,"F",2,"AI/AN","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"4",4,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"5",5,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"6",4,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"7",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"2",1,FALSE,1
"8",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"9",3,"F",1,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"10",4,"F",1,"Asian","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"11",4,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"3",1,FALSE,0
"12",4,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"13",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"14",4,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"15",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"16",3,"F",1,"Black","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"17",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"18",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"3",1,FALSE,0
"19",3,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"20",4,"F",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"3",1,FALSE,0
"21",4,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"3",1,FALSE,0
"22",4,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"23",3,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"24",5,"M",1,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"25",4,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"2",NA,FALSE,1
"26",4,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"27",4,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"28",3,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"29",4,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"30",3,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"31",3,"M",1,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"32",5,"F",2,"Asian","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"33",4,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"2",1,FALSE,1
"34",4,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,"3",1,FALSE,0
"35",4,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"36",5,"M",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,"3",NA,FALSE,0
"37",4,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"38",1,"F",8,"Hispanic",NA,1,1,1,1,0,0,1,0,0,1,"1",1,TRUE,1
"39",4,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"40",5,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"41",5,"M",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,"3",NA,FALSE,0
"42",4,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"43",5,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"44",4,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"3",1,FALSE,0
"45",4,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"1",1,FALSE,1
"46",5,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"4",1,FALSE,0
"47",5,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,"2",1,FALSE,1
