"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"1",8,"M",5,"White","High",1,0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"2",8,"M",5,"White","High",8,1,1,0,0,0,0,0,0,0,"1","1",TRUE,1
"3",7,"M",5,"White","High",1,0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"4",7,"M",5,"White","High",1,0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"5",8,"F",5,"White","High",1,0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"6",8,"F",5,"White","High",1,1,0,0,0,0,0,0,0,0,"2",NA,TRUE,1
"7",7,"F",5,"White","High",1,0,0,0,0,0,0,0,0,0,"1",NA,FALSE,1
"8",10,"M",7,"Hispanic","High",1,0,0,1,0,0,0,0,0,0,"4","1",TRUE,0
"9",8,"M",5,"Black","High",NA,NA,NA,1,NA,NA,1,NA,NA,NA,"4",NA,TRUE,0
"10",8,"F",5,"White","High",1,1,0,0,0,0,0,0,0,0,"1","1",TRUE,1
"11",8,"M",6,"White","High",8,1,0,0,0,0,0,0,0,0,"2","1",TRUE,1
"12",8,"F",5,"White","High",1,0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"13",7,"F",5,"White","High",1,0,0,0,0,0,0,0,0,0,"3","1",FALSE,0
"14",8,"F",5,"White","High",1,0,0,0,0,0,0,0,0,1,"4","1",TRUE,0
"15",8,"M",5,"White","High",10,0,0,1,0,0,0,0,0,0,"2",NA,TRUE,1
"16",8,"M",5,"White","High",1,0,0,1,0,0,0,0,0,0,"3","1",TRUE,0
"17",8,"M",5,"White","High",1,0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"18",8,"M",5,"Black","High",10,NA,0,0,0,0,0,0,0,0,"1","1",NA,1
