"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"59",9,"F",5,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"60",8,"F",5,"White","High",4,1,1,1,0,0,0,0,0,0,NA,NA,TRUE,NA
"61",7,"F",5,"White","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"62",7,"M",5,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"63",8,"M",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"64",7,"M",5,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"65",7,"F",5,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"66",7,"F",5,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"67",7,"F",5,"Hispanic","High",3,0,1,0,0,0,0,0,0,0,NA,1,TRUE,NA
"68",8,"M",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"69",7,"M",5,"White","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"70",8,"M",5,"White","High",NA,0,0,0,0,0,1,0,1,1,2,1,TRUE,1
"71",8,"F",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"72",8,"M",5,"White","High",NA,0,0,1,0,0,0,0,0,1,NA,NA,TRUE,NA
"73",8,"F",5,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"74",7,"F",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,2,1,FALSE,1
"75",8,"F",5,"White","High",NA,1,1,1,0,0,0,0,0,1,NA,NA,TRUE,NA
"76",7,"M",5,"Hispanic","High",2,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"77",7,"F",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"78",9,"M",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"79",8,"M",5,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"80",8,"F",5,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"81",8,"M",5,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"82",9,"F",5,"White","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"83",9,"M",5,"Hispanic","High",NA,0,0,0,NA,NA,0,NA,NA,NA,3,1,NA,0
"84",8,"F",5,"White","High",NA,1,0,0,0,0,0,0,1,1,NA,NA,TRUE,NA
"85",8,"M",5,"White","High",NA,0,0,1,0,0,0,0,0,1,3,NA,TRUE,0
"86",7,"M",5,"Hispanic","High",NA,1,1,1,0,0,0,0,0,0,NA,1,TRUE,NA
"87",8,"F",5,"Hispanic","High",4,0,0,0,NA,NA,0,NA,NA,0,4,NA,NA,0
"88",8,"M",5,"Hispanic","High",NA,0,0,0,1,1,0,1,1,0,NA,NA,TRUE,NA
"89",8,"F",5,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"90",8,"M",5,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,1,1,FALSE,1
"91",8,"F",5,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"92",7,"M",5,"White","High",NA,0,1,1,0,0,0,1,0,0,NA,1,TRUE,NA
"93",8,"M",6,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"94",9,"M",6,"Hispanic","High",NA,0,1,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"95",8,"F",6,"Hispanic","High",NA,0,1,0,0,0,0,0,0,1,1,1,TRUE,1
"96",9,"F",6,"White","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"97",9,"M",6,"White","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"98",9,"M",6,"White","High",NA,NA,1,1,0,0,0,0,0,1,NA,NA,TRUE,NA
"99",9,"M",6,"White","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"100",8,"F",6,"Hispanic","High",2,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"101",9,"F",6,"White","High",NA,1,0,0,0,0,0,1,0,1,NA,NA,TRUE,NA
"102",8,"M",6,"White","High",NA,0,0,1,0,0,0,0,0,1,NA,1,TRUE,NA
"103",8,"F",6,"Hispanic","High",3,0,1,0,0,0,1,0,0,0,3,1,TRUE,0
"104",9,"M",6,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"105",9,"M",6,"Hispanic","High",NA,0,1,0,0,0,1,0,0,0,4,1,TRUE,0
"106",9,"M",6,"White","High",NA,0,0,1,0,0,0,0,0,1,NA,1,TRUE,NA
"107",9,"F",6,"White","High",NA,1,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"108",9,"F",6,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"109",9,"M",6,"White","High",NA,1,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"110",9,"M",6,"White","High",NA,0,0,1,0,0,0,0,0,1,NA,NA,TRUE,NA
"111",9,"F",6,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,2,NA,TRUE,1
"112",9,"M",6,"Hispanic","High",NA,1,1,0,0,0,0,0,0,1,NA,1,TRUE,NA
"113",8,"F",6,"Hispanic","High",NA,0,0,0,1,0,0,0,0,0,NA,NA,TRUE,NA
"114",9,"F",6,"White","High",NA,1,0,0,0,0,0,1,0,1,NA,NA,TRUE,NA
