"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"1",7,"F","4","M","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"2",8,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"3",6,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"4",6,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4",".N",FALSE,0
"5",7,"M","4","White","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"6",7,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"7",6,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"3","1",FALSE,0
"8",7,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"9",6,"M","4","White","High","S",0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"10",7,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"11",7,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"12",7,"F","4","White","High","S",0,0,0,0,0,0,0,0,0,"2",NA,FALSE,1
"13",6,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"14",6,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"15",7,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,".S",NA,FALSE,1
"16",6,"F","4","M","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"17",7,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4",NA,FALSE,0
"18",7,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"3","1",FALSE,0
"19",7,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"2",NA,FALSE,1
"20",7,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"21",6,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"22",6,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,".S",NA,FALSE,1
"23",8,"M","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"3","1",FALSE,0
"24",7,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,1,".S",NA,TRUE,1
"25",7,"F","4","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"26",10,"M","7","Hispanic","High","S",1,0,0,0,0,0,0,0,1,".S",NA,TRUE,1
"27",10,"M","7","Hispanic","High","11",1,0,0,0,0,0,0,0,0,".S","1",TRUE,1
"28",7,"F","5","Hispanic","High","S",1,0,0,0,0,0,0,0,1,".S","1",TRUE,1
"29",9,"M","7","White","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"30",7,"F","5","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"2","1",FALSE,1
"31",9,"M","7","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"32",7,"M","5","M","High","S",0,0,0,0,0,0,0,0,0,"4",".N",FALSE,0
"33",9,"M","7","Hispanic","High","S",1,0,0,0,0,0,0,0,1,".S","1",TRUE,1
"34",8,"M","5","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"35",9,"F","7","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"36",9,"M","6","Hispanic","High","1",0,0,0,0,0,0,0,0,0,".S","1",FALSE,1
"37",11,"M","7","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"38",8,"M","6","Hispanic","High","4",0,0,0,NA,0,0,NA,0,0,".S","1",NA,1
"39",9,"M","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"40",10,"M","7","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"41",9,"M","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,".S","1",FALSE,1
"42",9,"F","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"43",9,"M","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"44",9,"F","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"2","1",FALSE,1
"45",9,"M","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"3",NA,FALSE,0
"46",8,"M","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"2","1",FALSE,1
"47",9,"F","6","Hispanic","High","10",0,0,0,0,0,0,NA,NA,0,".S",NA,NA,1
"48",9,"M","6","Hispanic","High","N",1,1,0,0,0,0,0,0,0,".S",".N",TRUE,1
"49",9,"F","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"50",9,"F","6","Hispanic","High","9",1,1,0,0,0,1,0,0,1,".S","1",TRUE,1
"51",9,"F","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"3","1",FALSE,0
"52",9,"M","6","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"2",NA,FALSE,1
"53",10,"M","7","Hispanic","High","S",0,0,0,0,0,0,0,0,0,"4","1",FALSE,0
"54",10,"F","7","Hispanic","High","S",0,0,0,0,0,0,0,0,1,"2","1",TRUE,1
"55",10,"F","7","Hispanic","High","11",0,0,0,0,0,0,0,0,1,".S","1",TRUE,1
"56",9,"F","7","Hispanic","High","9",0,0,0,0,0,0,0,0,0,".S",".N",FALSE,1
