"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"1",4,"F",1,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"2",4,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"3",5,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"4",4,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"5",5,"M",2,"Black","Middle",1,0,0,0,0,0,0,0,0,0,1,"1",FALSE,1
"6",5,"F",2,"Hispanic","Middle",NA,0,0,0,0,0,0,0,0,NA,4,"1",NA,0
"7",5,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"8",5,"M",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"9",5,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"10",5,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,2,"1",FALSE,1
"11",4,"M",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"12",5,"M",2,"Black","Middle",2,0,0,NA,0,0,0,0,0,0,4,"1",NA,0
"13",4,"M",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"14",5,"M",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"15",5,"F",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"16",5,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"17",4,"F",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,2,"1",FALSE,1
"18",5,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"19",4,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"20",5,"M",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"21",5,"F",2,"White","Middle",2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"22",4,"M",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"23",5,"F",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,3,"1",FALSE,0
"24",5,"M",2,"Hispanic","Middle",NA,1,NA,NA,0,0,0,0,0,0,1,NA,TRUE,1
"25",5,"M",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"26",4,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"27",5,"M",2,"Black","Middle",2,0,0,NA,0,0,0,0,0,0,4,"1",NA,0
"28",5,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"29",4,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"30",5,"F",2,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"31",NA,NA,NA,"Black",NA,NA,0,NA,NA,0,0,0,0,0,0,3,NA,NA,0
"32",5,"F",2,"Hispanic","Middle",2,0,0,NA,0,0,0,0,0,0,4,"1",NA,0
"33",5,"M",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"34",4,"M",2,NA,"Middle",2,0,0,0,0,0,0,0,0,0,1,NA,FALSE,1
"35",NA,"F",NA,NA,NA,2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"36",4,"F",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"37",NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"38",4,"M",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"39",5,"M",2,NA,"Middle",2,0,0,0,0,0,0,0,0,0,2,"1",FALSE,1
"40",5,"M",2,"NHOPI","Middle",2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"41",NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"42",NA,"M",NA,NA,NA,2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"43",NA,"F",NA,"Hispanic",NA,2,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"44",NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,0,3,"1",NA,0
"45",4,"F",2,"Hispanic","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
"46",5,"M",2,NA,"Middle",1,0,0,0,NA,NA,0,NA,NA,0,2,NA,NA,1
"47",3,"F",1,"Black","Middle",2,0,0,0,0,0,0,0,0,0,4,"1",FALSE,0
